Year,RoundNumber,LapNumber
2024,5,27.0
2024,5,28.0
2024,5,36.0
2024,5,39.0
2024,5,41.0
2024,5,44.0
2024,6,11.0
2024,6,12.0
2024,6,13.0
2024,6,18.0
2024,6,20.0
2024,6,23.0
2024,6,24.0
2024,6,25.0
2024,6,27.0
2024,6,28.0
2024,6,29.0
2024,6,30.0
2024,6,32.0
2024,6,41.0
2024,6,54.0
2024,7,1.0
2024,7,8.0
2024,7,9.0
2024,7,10.0
2024,7,12.0
2024,7,13.0
2024,7,14.0
2024,7,22.0
2024,7,23.0
2024,7,24.0
2024,7,25.0
2024,7,26.0
2024,7,28.0
2024,7,29.0
2024,7,31.0
2024,7,32.0
2024,7,34.0
2024,7,38.0
2024,7,41.0
2024,7,53.0
2024,7,60.0
2024,8,1.0
2024,8,15.0
2024,8,42.0
2024,8,48.0
2024,8,51.0
2024,8,52.0
2024,8,57.0
2024,8,70.0
2024,9,1.0
2024,9,8.0
2024,9,13.0
2024,9,25.0
2024,9,26.0
2024,9,27.0
2024,9,29.0
2024,9,32.0
2024,9,41.0
2024,9,42.0
2024,9,43.0
2024,9,44.0
2024,9,45.0
2024,9,46.0
2024,9,48.0
2024,9,53.0
2024,9,55.0
2024,10,1.0
2024,10,10.0
2024,10,11.0
2024,10,12.0
2024,10,13.0
2024,10,14.0
2024,10,15.0
2024,10,16.0
2024,10,17.0
2024,10,18.0
2024,10,19.0
2024,10,20.0
2024,10,22.0
2024,10,24.0
2024,10,25.0
2024,10,28.0
2024,10,29.0
2024,10,30.0
2024,10,32.0
2024,10,35.0
2024,10,37.0
2024,10,38.0
2024,10,39.0
2024,10,42.0
2024,10,43.0
2024,10,44.0
2024,10,45.0
2024,10,46.0
2024,10,47.0
2024,10,48.0
2024,10,50.0
2024,11,1.0
2024,11,2.0
2024,11,11.0
2024,11,12.0
2024,11,13.0
2024,11,17.0
2024,11,20.0
2024,11,21.0
2024,11,22.0
2024,11,23.0
2024,11,24.0
2024,11,26.0
2024,11,29.0
2024,11,34.0
2024,11,36.0
2024,11,38.0
2024,11,39.0
2024,11,40.0
2024,11,43.0
2024,11,44.0
2024,11,45.0
2024,11,47.0
2024,11,48.0
2024,11,50.0
2024,11,52.0
2024,11,54.0
2024,11,65.0
2024,11,69.0
2024,12,1.0
2024,12,13.0
2024,12,20.0
2024,12,22.0
2024,12,27.0
2024,12,28.0
2024,12,29.0
2024,12,38.0
2024,12,39.0
2024,12,40.0
2024,12,48.0
2024,12,51.0
2024,13,1.0
2024,13,3.0
2024,13,7.0
2024,13,8.0
2024,13,9.0
2024,13,15.0
2024,13,17.0
2024,13,18.0
2024,13,19.0
2024,13,22.0
2024,13,24.0
2024,13,29.0
2024,13,30.0
2024,13,31.0
2024,13,34.0
2024,13,35.0
2024,13,37.0
2024,13,38.0
2024,13,41.0
2024,13,46.0
2024,13,48.0
2024,13,50.0
2024,13,54.0
2024,13,64.0
2024,13,65.0
2024,14,8.0
2024,14,9.0
2024,14,10.0
2024,14,11.0
2024,14,12.0
2024,14,13.0
2024,14,14.0
2024,14,16.0
2024,14,18.0
2024,14,21.0
2024,14,22.0
2024,14,24.0
2024,14,25.0
2024,14,26.0
2024,14,27.0
2024,14,29.0
2024,14,30.0
2024,14,31.0
2024,14,36.0
2024,14,43.0
2024,15,1.0
2024,15,13.0
2024,15,15.0
2024,15,16.0
2024,15,19.0
2024,15,23.0
2024,15,24.0
2024,15,25.0
2024,15,26.0
2024,15,28.0
2024,15,29.0
2024,15,30.0
2024,15,31.0
2024,15,32.0
2024,15,33.0
2024,15,34.0
2024,15,41.0
2024,15,44.0
2024,15,49.0
2024,15,52.0
2024,15,55.0
2024,16,6.0
2024,16,11.0
2024,16,12.0
2024,16,13.0
2024,16,15.0
2024,16,16.0
2024,16,17.0
2024,16,18.0
2024,16,20.0
2024,16,23.0
2024,16,24.0
2024,16,31.0
2024,16,32.0
2024,16,33.0
2024,16,34.0
2024,16,36.0
2024,16,37.0
2024,16,38.0
2024,16,39.0
2024,16,42.0
2024,16,51.0
2024,17,1.0
2024,17,2.0
2024,17,11.0
2024,17,12.0
2024,17,13.0
2024,17,14.0
2024,17,15.0
2024,17,16.0
2024,17,17.0
2024,17,18.0
2024,17,23.0
2024,17,32.0
2024,17,35.0
2024,17,38.0
2024,17,50.0
2024,17,51.0
2024,18,11.0
2024,18,12.0
2024,18,14.0
2024,18,18.0
2024,18,26.0
2024,18,27.0
2024,18,28.0
2024,18,29.0
2024,18,30.0
2024,18,31.0
2024,18,34.0
2024,18,35.0
2024,18,37.0
2024,18,38.0
2024,18,39.0
2024,18,47.0
2024,18,50.0
2024,18,59.0
2024,19,1.0
2024,19,4.0
2024,19,14.0
2024,19,16.0
2024,19,18.0
2024,19,19.0
2024,19,22.0
2024,19,26.0
2024,19,27.0
2024,19,28.0
2024,19,32.0
2024,19,33.0
2024,19,34.0
2024,19,36.0
2024,19,37.0
2024,19,39.0
2024,19,40.0
2024,19,41.0
2024,19,52.0
2024,20,1.0
2024,20,21.0
2024,20,27.0
2024,20,29.0
2024,20,30.0
2024,20,31.0
2024,20,32.0
2024,20,33.0
2024,20,40.0
2024,20,44.0
2024,20,48.0
2024,20,49.0
2024,20,50.0
2024,20,66.0
2024,20,69.0
2024,20,70.0
2024,21,1.0
2024,21,25.0
2024,21,26.0
2024,21,27.0
2024,21,28.0
2024,21,29.0
2024,21,30.0
2024,21,32.0
2024,21,33.0
2024,23,2.0
2024,23,8.0
2024,23,24.0
2024,23,25.0
2024,23,28.0
2024,23,32.0
2024,23,35.0
2024,23,36.0
2024,23,37.0
2024,23,38.0
2024,23,41.0
2024,23,46.0
2024,23,48.0
2024,23,56.0
2024,24,4.0
2024,24,5.0
2024,24,7.0
2024,24,12.0
2024,24,13.0
2024,24,14.0
2024,24,15.0
2024,24,21.0
2024,24,23.0
2024,24,24.0
2024,24,25.0
2024,24,26.0
2024,24,27.0
2024,24,30.0
2024,24,31.0
2024,24,33.0
2024,24,35.0
2024,24,38.0
2024,24,40.0
2024,24,56.0
