Year,GP,Driver,Rival,Gap_To_Ahead,Rival_Tyre_Age,Pace_Delta,Pit_Aggressiveness,Is_Traffic,InLap_Sec,OutLap_Sec,is_undercut,undercut_successful
2022,Emilia Romagna Grand Prix,RIC,HAM,5.432,12.0,4.125999999999991,-12.11111111111111,0,111.294,84.149,0,0
2022,Miami Grand Prix,GAS,HAM,9.325,16.0,5.009999999999991,25.714285714285715,0,110.83,95.185,0,0
2022,Miami Grand Prix,GAS,ALB,4.394,24.0,12.567000000000007,-22.25,0,,,0,0
2022,Miami Grand Prix,PER,LEC,0.014,3.0,6.888999999999996,14.714285714285715,0,108.374,93.224,0,0
2022,Miami Grand Prix,PER,SAI,14.756,14.0,5.611000000000004,-23.25,0,131.29,,0,0
2022,Miami Grand Prix,ALO,NOR,0.779,15.0,5.567999999999998,26.714285714285715,1,113.03,95.662,1,1
2022,Miami Grand Prix,LEC,SAI,0.133,24.0,4.963999999999999,17.714285714285715,1,111.128,93.358,1,1
2022,Miami Grand Prix,STR,MSC,0.505,26.0,2.9639999999999986,-22.25,0,131.776,121.462,0,0
2022,Miami Grand Prix,MAG,RUS,1.086,12.0,5.759999999999991,29.714285714285715,1,110.202,94.761,0,0
2022,Miami Grand Prix,MAG,OCO,1.395,1.0,-10.752999999999986,-24.25,0,128.984,,0,0
2022,Miami Grand Prix,TSU,OCO,2.157,11.0,4.028000000000006,30.714285714285715,0,111.044,95.73,0,0
2022,Miami Grand Prix,TSU,GAS,2.061,4.0,,-23.25,0,,,0,0
2022,Miami Grand Prix,ALB,OCO,2.667,16.0,4.6440000000000055,25.714285714285715,0,111.738,95.14,0,0
2022,Miami Grand Prix,RIC,GAS,1.043,14.0,5.656000000000006,11.714285714285715,0,111.887,95.347,0,0
2022,Miami Grand Prix,RIC,VET,6.797,43.0,-0.6960000000000122,-23.25,0,131.63,108.667,0,0
2022,Miami Grand Prix,OCO,RUS,15.564,1.0,-10.295999999999992,-23.25,1,131.736,127.629,0,0
2022,Miami Grand Prix,NOR,RUS,1.071,18.0,4.899000000000001,23.714285714285715,1,115.077,96.162,0,0
2022,Miami Grand Prix,HAM,BOT,12.435,22.0,5.565000000000012,19.714285714285715,1,109.237,94.143,1,0
2022,Miami Grand Prix,MSC,RIC,0.596,14.0,5.009999999999991,27.714285714285715,1,111.573,94.988,0,0
2022,Miami Grand Prix,MSC,LAT,0.819,20.0,15.97999999999999,-36.25,0,121.556,93.205,0,0
2022,Miami Grand Prix,VET,STR,2.367,3.0,-6.236000000000004,-23.25,0,132.994,113.143,0,0
2022,Miami Grand Prix,LAT,TSU,12.251,23.0,6.144999999999996,-16.25,0,114.001,98.402,0,0
2022,Miami Grand Prix,RUS,HAM,1.189,18.0,3.948999999999998,-22.25,0,132.581,118.22,0,0
2022,Miami Grand Prix,BOT,LEC,7.533,2.0,5.826999999999998,15.714285714285715,0,110.508,94.097,0,0
2022,Spanish Grand Prix,VER,RUS,1.116,16.0,-0.01099999999999568,23.42307692307692,0,105.251,87.317,0,0
2022,Spanish Grand Prix,VER,PER,2.295,11.0,3.653000000000006,-6.576923076923077,1,103.366,85.732,0,0
2022,Spanish Grand Prix,PER,LEC,20.484,17.0,4.350999999999999,19.42307692307692,0,105.488,87.169,1,0
2022,Spanish Grand Prix,PER,VER,8.418,9.0,4.0789999999999935,-31.576923076923077,0,105.742,84.108,0,0
